_runtime,_step,_timestamp,train/acc_collision_0.3s,train/acc_entry_0.3s,train/competition_score,train/f1_entry_side_macro,train/f1_evasion_space_macro,train/final_temporal_length,train/loss,train/loss_collision,train/loss_entry,train/loss_entry_side,train/loss_evasion_space,train/loss_invalid_order,train/memory_crop_applied_fraction,train/original_temporal_length,train/semantic_temporal_length,train_config/early_stopping_bad_validations,train_config/early_stopping_triggered,train_config/epoch,train_config/lr_dino_lora,train_config/lr_new_parameters,train_config/lr_vjepa_lora,val/AIHUB/acc_collision_0.3s,val/AIHUB/acc_entry_0.3s,val/AIHUB/competition_score,val/AIHUB/f1_entry_side_macro,val/AIHUB/f1_evasion_space_macro,val/AIHUB/loss,val/AIHUB/loss_collision,val/AIHUB/loss_entry,val/AIHUB/loss_entry_side,val/AIHUB/loss_evasion_space,val/CCD/acc_collision_0.3s,val/CCD/acc_entry_0.3s,val/CCD/competition_score,val/CCD/f1_entry_side_macro,val/CCD/f1_evasion_space_macro,val/CCD/loss,val/CCD/loss_collision,val/CCD/loss_entry,val/CCD/loss_entry_side,val/CCD/loss_evasion_space,val/NEXAR/acc_collision_0.3s,val/NEXAR/acc_entry_0.3s,val/NEXAR/competition_score,val/NEXAR/f1_entry_side_macro,val/NEXAR/f1_evasion_space_macro,val/NEXAR/loss,val/NEXAR/loss_collision,val/NEXAR/loss_entry,val/NEXAR/loss_entry_side,val/NEXAR/loss_evasion_space,val/acc_collision_0.3s,val/acc_entry_0.3s,val/competition_score,val/f1_entry_side_macro,val/f1_evasion_space_macro,val/loss,val/loss_collision,val/loss_entry,val/loss_entry_side,val/loss_evasion_space,val/loss_invalid_order
789.539905622,51,1789435279.149546,0.4228855721393035,0.2288557213930348,0.3835970935304572,0.48444523452777,0.5521390374331551,208.0049751243781,,,,,,,0.26865671641791045,445.48258706467664,378.318407960199,0,0,1,2.567901234567901e-06,0.00019259259259259257,1.925925925925926e-06,0.2777777777777778,0.2777777777777778,0.30223465423465423,0.4109090909090909,0.3076923076923077,3.6241510179307728,4.570936414930555,5.115092383490668,0.6968320740593804,0.7394491301642524,0.75,0.5,0.5689285714285715,0.5428571428571429,0.3333333333333333,2.5816802978515625,3.072563648223877,3.706669569015503,0.6419663429260254,0.706616997718811,0.6875,0.1875,0.40590217391304345,0.30434782608695654,0.36,5.68043851852417,7.278097152709961,8.286913871765137,0.7193216681480408,0.7186462879180908,0.56,0.32,0.4204809741248097,0.4165398274987316,0.3333333333333333,3.948572692871094,4.957749328613281,5.6793798828125,0.6864717864990234,0.7222859191894532,0.28527488708496096
1518.290459375,102,1789435976.4261873,0.6417910447761194,0.35323383084577115,0.5106433906466648,0.49751295069714696,0.5850516104962069,207.4278606965174,,,,,,,0.2537313432835821,445.48258706467664,371.4179104477612,0,0,2,3.995065666603099e-06,0.0002996299249952324,2.9962992499523244e-06,0.4444444444444444,0.4444444444444444,0.3992649572649572,0.28,0.3076923076923077,3.180261400010851,4.158682929144965,4.272742377387153,0.6975106133355035,0.721628295050727,0.8125,0.5,0.609375,0.6666666666666667,0.3333333333333333,2.3924102783203125,2.781157970428467,3.452502489089966,0.6233201026916504,0.7497974038124084,0.6875,0.1875,0.4229772727272727,0.4181818181818182,0.36,5.14962100982666,6.558629989624023,7.491460800170898,0.707004725933075,0.728879988193512,0.64,0.38,0.473221466731423,0.44147644487615345,0.3333333333333333,3.5583441162109377,4.485858764648437,5.040255737304688,0.6768077850341797,0.7329630279541015,0.25477540969848633
2213.942421608,153,1789436701.7278824,0.6915422885572139,0.5174129353233831,0.5938390846988902,0.5335728722209746,0.6044588367169013,205.2139303482587,,,,,,,0.2537313432835821,445.48258706467664,355.50248756218906,0,0,3,3.942252597604264e-06,0.00029566894482031976,2.9566894482031984e-06,0.5555555555555556,0.4444444444444444,0.5125,0.3333333333333333,0.75,3.1177459292941623,3.7772649129231772,4.5213296678331165,0.6759205394321017,0.6495886378818088,0.8125,0.625,0.6260178965771072,0.2727272727272727,0.5465587044534412,2.3532674312591553,2.9377431869506836,3.161442279815674,0.7480795383453369,0.668290376663208,0.6875,0.125,0.4121845238095238,0.36,0.4920634920634921,4.744598388671875,5.536251544952393,7.38295316696167,0.6775199770927429,0.7375510931015015,0.68,0.4,0.5185091137649277,0.32432432432432434,0.6124031007751938,3.3937054443359376,4.071493530273438,5.0018853759765625,0.6995230865478516,0.6837212371826172,0.21072439193725587
2940.739946034,204,1789437420.571826,0.7810945273631841,0.6567164179104478,0.6789671358264572,0.5317704203013481,0.6397849462365591,219.11940298507463,,,,,,,0.26865671641791045,445.48258706467664,381.1691542288557,0,0,4,3.833028933626884e-06,0.00028747717002201634,2.8747717002201636e-06,0.7777777777777777,0.4444444444444444,0.6522321121431027,0.775,0.7213622291021672,2.9886266920301647,3.830094231499566,4.1091868082682295,0.6599646674262153,0.6572351985507541,0.75,0.5,0.6556818181818181,0.8545454545454545,0.6,2.407452344894409,2.747467517852783,3.5376808643341064,0.6295914649963379,0.7321808338165283,0.6875,0.125,0.43296835038363174,0.6862745098039216,0.30434782608695654,4.624894142150879,5.557012557983398,7.0506744384765625,0.6467115879058838,0.7033755779266357,0.74,0.36,0.5888402692778458,0.7756017951856384,0.5833333333333333,3.3262567138671875,4.036267700195313,4.86758056640625,0.6460042572021485,0.6959827423095704,0.17222869873046875
3655.490084877,255,1789438157.6911852,0.8159203980099502,0.7711442786069651,0.7785776160138854,0.7661460009406639,0.7212205270457698,213.06467661691542,,,,,,,0.27860696517412936,445.48258706467664,370.2786069651741,1,0,5,3.6705669561127774e-06,0.0002752925217084583,2.7529252170845833e-06,0.5555555555555556,0.38888888888888884,0.5797638704604648,0.8328173374613003,0.8285714285714285,2.865386962890625,3.483503129747179,4.29668468899197,0.34931159019470215,0.5482919481065538,0.75,0.5625,0.6641369047619048,0.6190476190476191,0.746031746031746,2.2775135040283203,2.9285390377044678,3.087967872619629,0.4692530333995819,0.6489224433898926,0.75,0.125,0.5030269073032231,0.9352226720647774,0.37662337662337664,4.7814435958862305,5.497032165527344,7.600837230682373,0.42539435625076294,0.8126657009124756,0.68,0.36,0.5856427443329617,0.7996794871794872,0.677938808373591,3.290405578613281,3.9502444458007813,4.9672238159179685,0.4120393371582031,0.6650933074951172,0.15443964004516603
4329.279933028,306,1789438849.4432135,0.900497512437811,0.8308457711442786,0.8531564470394027,0.8621784290321761,0.7857302228723009,205.01990049751242,,,,,,,0.24378109452736318,445.48258706467664,346.45771144278604,0,0,6,3.4595851948887347e-06,0.0002594688896166551,2.594688896166551e-06,0.7222222222222222,0.4444444444444444,0.6481909988875932,0.8328173374613003,0.7662337662337663,2.866965823703342,3.5411133236355252,4.15373060438368,0.4497951931423611,0.643101692199707,0.8125,0.5625,0.7121002024291497,0.8056680161943319,0.7333333333333334,2.315108060836792,2.8082854747772217,3.2711148262023926,0.6458836197853088,0.5765770077705383,0.6875,0.1875,0.4780317561807331,0.6862745098039216,0.45893719806763283,4.629331588745117,5.378589630126953,7.178444862365723,0.505145788192749,0.9956402778625488,0.74,0.4,0.6200871619149495,0.7799119647859143,0.6940024479804161,3.25432861328125,3.894600524902344,4.839202270507813,0.5302556610107422,0.7346261596679687,0.15530336380004883
5023.642569206,357,1789439557.2192378,0.945273631840796,0.8955223880597015,0.9031330244762741,0.8701034002783854,0.8555927164622816,210.3681592039801,,,,,,,0.25870646766169153,445.48258706467664,365.82587064676613,1,0,7,3.206211383646528e-06,0.0002404658537734896,2.4046585377348962e-06,0.6666666666666666,0.611111111111111,0.6854050538833147,0.8888888888888888,0.6989966555183946,2.8312178717719183,3.539856380886502,4.007532331678602,0.4291050169203017,0.8028546439276801,0.75,0.6875,0.6973991469057258,0.6761133603238867,0.6190476190476191,2.4106123447418213,2.89772629737854,3.372499704360962,0.5435542464256287,0.8890724778175354,0.625,0.0625,0.41737570028011206,0.6862745098039216,0.4920634920634921,5.0681586265563965,5.799209117889404,7.962506294250488,0.4097720980644226,1.2125775814056396,0.68,0.46,0.60536655011655,0.7596153846153846,0.6161616161616161,3.412445068359375,4.057367553710938,5.069913940429688,0.45954219818115233,0.9615556335449219,0.09463752746582031
5714.029249424,408,1789440249.8727682,0.9402985074626865,0.9353233830845771,0.9205765570371287,0.9001986097318768,0.8605273592386995,209.5323383084577,,,,,,,0.2537313432835821,445.48258706467664,360.7412935323383,0,0,8,2.9178044866433226e-06,0.0002188353364982492,2.188353364982492e-06,0.6666666666666666,0.6666666666666666,0.6605988214683867,0.7142857142857142,0.5785953177257526,2.9171435038248696,3.6796930101182728,4.012857225206163,0.631770028008355,0.8125008477105035,0.8125,0.6875,0.7283766233766233,0.7922077922077921,0.5636363636363637,2.409637451171875,2.889892816543579,3.264633893966675,0.5133790969848633,1.1716328859329224,0.8125,0.1875,0.5359624585940376,0.6761133603238867,0.5636363636363637,4.9095282554626465,5.506356239318848,7.676886081695557,0.6204816102981567,1.2917970418930054,0.76,0.52,0.6441555857078245,0.7373737373737375,0.5703301673450927,3.3923043823242187,4.0114892578125,4.945915222167969,0.5902726364135742,1.0807980346679686,0.1310504150390625
6375.382322718,459,1789440937.936299,0.9651741293532338,0.9552238805970149,0.9458936136712117,0.9048698468053307,0.9201588877855015,208.82587064676616,,,,,,,0.2537313432835821,445.48258706467664,358.7164179104478,1,0,9,2.6027409656616546e-06,0.0001952055724246241,1.952055724246241e-06,0.611111111111111,0.611111111111111,0.6565277777777776,0.775,0.75,2.834927241007487,3.5356326633029513,3.856572469075521,0.779612488216824,0.8113581339518229,0.8125,0.625,0.7250568181818182,0.8545454545454545,0.625,2.418219566345215,2.8316543102264404,3.505842924118042,0.32477736473083496,0.9839460253715515,0.6875,0.25,0.5210661764705882,0.6862745098039216,0.6,4.7837653160095215,5.392932891845703,7.475467205047607,0.6580549478530884,1.135549783706665,0.7000000000000001,0.5,0.6378180748561071,0.7726333195535345,0.6794871794871795,3.325208740234375,3.9046954345703124,4.90238525390625,0.5951668548583985,0.9703276062011719,0.15812676429748534
7167.997018423,510,1789441623.5571008,0.9552238805970149,0.9701492537313433,0.9573773256676872,0.9397602397602398,0.9502179512581732,211.83084577114428,1.963471489983636,2.6136994233002535,2.8174675606392525,0.21696286588101774,0.195023639782055,0.015302258568841058,0.2736318407960199,445.48258706467664,378.07960199004975,0,0,10,2.2701714948705466e-06,0.00017026286211529098,1.7026286211529102e-06,0.7222222222222222,0.6666666666666666,0.725968776665371,0.8328173374613003,0.7662337662337663,2.731056637234158,3.3919024997287326,3.833083258734809,0.7349041302998861,0.55993562274509,0.8125,0.5625,0.712667004048583,0.8666666666666667,0.6761133603238867,2.4525256156921387,2.9465723037719727,3.3220033645629883,0.4546777307987213,1.2511003017425537,0.75,0.1875,0.5479416539343009,0.8117647058823529,0.6536796536796536,4.884019374847412,5.254666328430176,7.846549034118652,0.6021643877029419,1.329132318496704,0.76,0.48,0.667574879227053,0.8389694041867954,0.7181964573268921,3.3308749389648438,3.8454815673828127,4.953847045898438,0.6027549743652344,1.027251205444336,0.13218249320983888
