_runtime,_step,_timestamp,train/acc_collision_0.3s,train/acc_entry_0.3s,train/competition_score,train/f1_entry_side_macro,train/f1_evasion_space_macro,train/final_temporal_length,train/loss,train/loss_collision,train/loss_entry,train/loss_entry_side,train/loss_evasion_space,train/loss_invalid_order,train/memory_crop_applied_fraction,train/original_temporal_length,train/semantic_temporal_length,train_config/early_stopping_bad_validations,train_config/early_stopping_triggered,train_config/epoch,train_config/lr_dino_lora,train_config/lr_new_parameters,train_config/lr_vjepa_lora,val/AIHUB/acc_collision_0.3s,val/AIHUB/acc_entry_0.3s,val/AIHUB/competition_score,val/AIHUB/f1_entry_side_macro,val/AIHUB/f1_evasion_space_macro,val/AIHUB/loss,val/AIHUB/loss_collision,val/AIHUB/loss_entry,val/AIHUB/loss_entry_side,val/AIHUB/loss_evasion_space,val/CCD/acc_collision_0.3s,val/CCD/acc_entry_0.3s,val/CCD/competition_score,val/CCD/f1_entry_side_macro,val/CCD/f1_evasion_space_macro,val/CCD/loss,val/CCD/loss_collision,val/CCD/loss_entry,val/CCD/loss_entry_side,val/CCD/loss_evasion_space,val/NEXAR/acc_collision_0.3s,val/NEXAR/acc_entry_0.3s,val/NEXAR/competition_score,val/NEXAR/f1_entry_side_macro,val/NEXAR/f1_evasion_space_macro,val/NEXAR/loss,val/NEXAR/loss_collision,val/NEXAR/loss_entry,val/NEXAR/loss_entry_side,val/NEXAR/loss_evasion_space,val/acc_collision_0.3s,val/acc_entry_0.3s,val/competition_score,val/f1_entry_side_macro,val/f1_evasion_space_macro,val/loss,val/loss_collision,val/loss_entry,val/loss_entry_side,val/loss_evasion_space,val/loss_invalid_order
838.683761894,51,1789404972.2893555,0.4129353233830846,0.21890547263681592,0.37809875944691923,0.48444523452777,0.5619179710719239,208.0049751243781,,,,,,,0.26865671641791045,445.48258706467664,378.318407960199,0,0,1,1.2839506172839507e-05,0.00019259259259259257,6.419753086419753e-06,0.5,0.2222222222222222,0.3489316239316239,0.3333333333333333,0.3076923076923077,3.6015196906195746,4.489804585774739,5.129893408881293,0.6997804641723633,0.7408427132500542,0.6875,0.5,0.5470535714285715,0.5428571428571429,0.3333333333333333,2.533775568008423,2.9208731651306152,3.7226405143737793,0.6411914825439453,0.70524001121521,0.6875,0.125,0.3840271739130435,0.30434782608695654,0.36,5.650593280792236,7.147824764251709,8.329874038696289,0.7236732840538025,0.7199621200561523,0.62,0.28,0.423,0.38666666666666666,0.3333333333333333,3.9155447387695315,4.838313293457031,5.703566284179687,0.688677749633789,0.7227680969238282,0.2834124374389648
1549.968478772,102,1789405669.5294805,0.6268656716417911,0.3383084577114428,0.5027808515045644,0.4994812201701598,0.6003181547027242,207.4278606965174,,,,,,,0.2537313432835821,445.48258706467664,371.4179104477612,0,0,2,1.9975328333015497e-05,0.0002996299249952324,9.987664166507749e-06,0.6666666666666666,0.4444444444444444,0.5133888888888889,0.55,0.28,3.123684353298611,4.0101165771484375,4.266831292046441,0.6888939539591471,0.7125802040100098,0.8125,0.5,0.609375,0.6666666666666667,0.3333333333333333,2.268220901489258,2.46295166015625,3.423901081085205,0.6247230768203735,0.7333047986030579,0.6875,0.3125,0.4667272727272727,0.4181818181818182,0.36,5.058745384216309,6.389349937438965,7.408481121063232,0.7029463052749634,0.719344437122345,0.72,0.42,0.5308037288625524,0.554367201426025,0.32432432432432434,3.469155578613281,4.276378173828125,5.002421569824219,0.6728560638427734,0.7213765716552735,0.24880949020385743
2249.406545254,153,1789406381.6329181,0.736318407960199,0.5174129353233831,0.6162930487341435,0.5482017982017982,0.6350453923641338,205.2139303482587,,,,,,,0.2537313432835821,445.48258706467664,355.50248756218906,1,0,3,1.9711262988021322e-05,0.00029566894482031976,9.855631494010661e-06,0.7777777777777777,0.4444444444444444,0.5786868686868686,0.3333333333333333,0.6727272727272727,3.0089299943712025,3.559694078233507,4.43250486585829,0.6694596078660753,0.6489822599622939,0.875,0.5,0.6150162337662337,0.2727272727272727,0.6190476190476191,2.23915958404541,2.7082772254943848,3.064113140106201,0.7429602742195129,0.6688530445098877,0.6875,0.0625,0.3903095238095238,0.36,0.4920634920634921,4.6138505935668945,5.328253269195557,7.214759349822998,0.6688648462295532,0.7502411603927612,0.78,0.34,0.5325091137649277,0.32432432432432434,0.6124031007751938,3.2761776733398436,3.8531793212890624,4.88494140625,0.6927895355224609,0.6877437591552734,0.21511886596679688
2976.167693775,204,1789407106.2488286,0.8059701492537313,0.6716417910447761,0.6981052476823104,0.5417327517842982,0.6645410387345871,219.11940298507463,,,,,,,0.26865671641791045,445.48258706467664,381.1691542288557,0,0,4,1.9165144668134426e-05,0.00028747717002201634,9.582572334067213e-06,0.7777777777777777,0.5555555555555556,0.6995833333333332,0.7777777777777778,0.775,2.90959103902181,3.648492177327474,4.068484412299262,0.6631791326734755,0.6509031719631619,0.75,0.625,0.6994318181818181,0.8545454545454545,0.6,2.2692952156066895,2.537593364715576,3.3526759147644043,0.6393439173698425,0.7282926440238953,0.6875,0.1875,0.4814772727272727,0.75,0.4181818181818182,4.585162162780762,5.326006889343262,7.165841102600098,0.651640772819519,0.703556478023529,0.74,0.46,0.6341429690998657,0.797077922077922,0.6305418719211823,3.2408786010742188,3.829809265136719,4.830580444335937,0.6518595886230468,0.6925168609619141,0.16172693252563478
3668.677556859,255,1789407815.6751328,0.890547263681592,0.8109452736318408,0.8215928600393595,0.756194766938139,0.750941712926249,213.06467661691542,,,,,,,0.27860696517412936,445.48258706467664,370.2786069651741,1,0,5,1.8352834780563888e-05,0.0002752925217084583,9.176417390281944e-06,0.7222222222222222,0.38888888888888884,0.6200739538239537,0.775,0.7662337662337663,2.882280561659071,3.4218663109673395,4.336163838704427,0.4827143881056044,0.5910260942247179,0.75,0.625,0.7083721532091097,0.7681159420289855,0.746031746031746,2.319382667541504,2.7754058837890625,3.3375205993652344,0.5085107684135437,0.6604838371276855,0.75,0.1875,0.5389752024291498,0.8056680161943319,0.6,4.749817371368408,5.3402814865112305,7.67293643951416,0.4611719250679016,0.7743076086044312,0.74,0.4,0.6264943806193807,0.797077922077922,0.719551282051282,3.2997647094726563,3.8288919067382814,5.084365539550781,0.4840756607055664,0.6719026947021485,0.1345673656463623
4334.588890536,306,1789408513.0977807,0.9253731343283582,0.845771144278607,0.8717096651450081,0.8980730223123732,0.7806547619047619,205.01990049751242,,,,,,,0.24378109452736318,445.48258706467664,346.45771144278604,2,0,6,1.7297925974443675e-05,0.0002594688896166551,8.648962987221837e-06,0.7222222222222222,0.5555555555555556,0.6636308909528723,0.8328173374613003,0.609907120743034,2.72469605339898,3.269077936808268,4.010077158610026,0.4325396749708388,0.6908885637919108,0.8125,0.5625,0.6721590909090909,0.7090909090909091,0.5636363636363637,2.3401737213134766,2.6910266876220703,3.3282461166381836,0.7014201283454895,0.8241485953330994,0.75,0.25,0.5397727272727273,0.75,0.5151515151515151,4.733987808227539,5.425344467163086,7.419709205627441,0.5855984687805176,0.945600688457489,0.76,0.46,0.6308402692778458,0.7756017951856384,0.5833333333333333,3.2446224975585936,3.774106750488281,4.882973327636718,0.5675602340698243,0.8150396728515625,0.14508410453796386
5038.698885842,357,1789409217.947874,0.9601990049751243,0.9154228855721392,0.9115211851170413,0.8504464285714286,0.8499103942652331,210.3681592039801,,,,,,,0.25870646766169153,445.48258706467664,365.82587064676613,3,0,7,1.6031056918232642e-05,0.0002404658537734896,8.015528459116321e-06,0.7222222222222222,0.5555555555555556,0.6447449494949494,0.775,0.5418181818181818,2.8960963355170355,3.3919024997287326,4.266822814941406,0.6000035074022081,0.8092797597249349,0.75,0.625,0.6702769151138716,0.7681159420289855,0.4920634920634921,2.3594179153442383,2.765584945678711,3.403024673461914,0.4551618695259094,0.8717800378799438,0.75,0.125,0.5199573452862927,0.8056680161943319,0.6190476190476191,5.3772196769714355,5.839441776275635,8.743504524230957,0.6093239784240723,1.1433159112930298,0.74,0.44,0.6183022023875757,0.797077922077922,0.5716034271725826,3.518318786621094,3.9746932983398438,5.422945556640625,0.5566367340087891,0.9361714935302734,0.10447738647460937
5724.352434779,408,1789409917.9566538,0.9651741293532338,0.9552238805970149,0.9347137821320408,0.8802383316782523,0.8702581926514399,209.5323383084577,,,,,,,0.2537313432835821,445.48258706467664,360.7412935323383,4,0,8,1.4589022433216616e-05,0.0002188353364982492,7.294511216608308e-06,0.6666666666666666,0.5,0.6294328316610924,0.775,0.6989966555183946,2.967408921983507,3.531975852118598,4.4283498128255205,0.5347968207465278,0.6187646124098036,0.75,0.625,0.6856081805191712,0.6862745098039216,0.6761133603238867,2.4813318252563477,2.8052103519439697,3.4831883907318115,0.7790005803108215,1.0639443397521973,0.8125,0.25,0.5679788961038961,0.7922077922077921,0.5151515151515151,4.998922348022461,5.392129898071289,8.188695907592773,0.5681110620498657,1.018827199935913,0.74,0.46,0.6318699238440653,0.7536945812807883,0.6587715776796468,3.4619482421875,3.8946597290039064,5.329208984375,0.6236026382446289,0.8892422485351562,0.13335029602050782
6409.472272917,459,1789410605.3336196,0.9651741293532338,0.990049751243781,0.9580499650071989,0.9147391271801781,0.9100715848081129,208.82587064676616,,,,,,,0.2537313432835821,445.48258706467664,358.7164179104478,0,0,9,1.3013704828308276e-05,0.0001952055724246241,6.506852414154138e-06,0.8333333333333333,0.4444444444444444,0.642057387057387,0.7142857142857142,0.5846153846153846,2.836669498019748,3.299266603257921,4.095104641384548,0.7271277109781901,0.8820416132609049,0.8125,0.5625,0.702288961038961,0.8545454545454545,0.6190476190476191,2.516411781311035,2.9055442810058594,3.5956192016601562,0.4898971915245056,1.086436152458191,0.8125,0.1875,0.5698166539343009,0.8117647058823529,0.6536796536796536,4.793459892272949,5.236494064331055,7.7868194580078125,0.5621224641799927,0.9493187665939331,0.8200000000000001,0.4,0.6451914144968331,0.7947454844006567,0.6598639455782312,3.360359802246094,3.793188171386719,5.116617736816406,0.5984123229980469,0.9689765167236328,0.1363896369934082
7208.090389642,510,1789411309.8372052,0.9800995024875622,0.9850746268656716,0.9646079076031646,0.9051345107683135,0.9401785714285714,211.83084577114428,1.5640734079721812,1.993788229452597,2.2069262942752323,0.44957114554740285,0.17328518790167732,0.007893161193744556,0.2736318407960199,445.48258706467664,378.07960199004975,0,0,10,1.1350857474352734e-05,0.00017026286211529098,5.675428737176367e-06,0.7777777777777777,0.611111111111111,0.7072106094388702,0.775,0.6989966555183946,2.8904811011420355,3.3082453409830728,4.264076232910156,0.7600656615363227,0.7796740531921387,0.75,0.6875,0.6886596511074065,0.5607843137254902,0.6761133603238867,2.6159284114837646,3.0142297744750977,3.6149020195007324,0.8767739534378052,1.0734809637069702,0.8125,0.1875,0.5547619047619048,0.746031746031746,0.6190476190476191,4.875970840454102,5.424224376678467,7.714360237121582,0.528852105140686,1.2566039562225342,0.78,0.5,0.6549819927971188,0.6998799519807923,0.68,3.4379803466796877,3.891274108886719,5.160430908203125,0.7234239959716797,1.0263099670410156,0.1484821605682373
